Model,DPO2012
Firmware Version,1.39

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4,,,
Sample Interval,0.00768049,,,
Filter Frequency,14,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.7911e+01,-0.28,-0.296,-13.8,-14
-1.7903e+01,-0.28,-0.272,-13.8,-13.4
-1.7896e+01,-0.28,-0.296,-13.8,-14
-1.7888e+01,-0.28,-0.272,-13.8,-13.4
-1.7880e+01,-0.28,-0.296,-13.8,-14
-1.7873e+01,-0.28,-0.272,-13.8,-13.4
-1.7865e+01,-0.28,-0.296,-13.8,-14
-1.7857e+01,-0.28,-0.264,-13.8,-13.4
-1.7849e+01,-0.28,-0.296,-13.8,-14
-1.7842e+01,-0.28,-0.272,-13.8,-13.6
-1.7834e+01,-0.28,-0.296,-13.8,-14
-1.7826e+01,-0.28,-0.272,-13.8,-13.4
-1.7819e+01,-0.28,-0.296,-13.8,-14
-1.7811e+01,-0.28,-0.272,-13.8,-13.6
-1.7803e+01,-0.28,-0.296,-13.8,-14
-1.7796e+01,-0.28,-0.272,-13.8,-13.6
-1.7788e+01,-0.28,-0.296,-13.8,-14
-1.7780e+01,-0.28,-0.272,-13.8,-13.6
-1.7773e+01,-0.28,-0.296,-13.8,-14
-1.7765e+01,-0.28,-0.264,-13.8,-13.6
-1.7757e+01,-0.28,-0.296,-13.8,-14
-1.7750e+01,-0.28,-0.272,-13.8,-13.6
-1.7742e+01,-0.28,-0.296,-13.8,-14
-1.7734e+01,-0.28,-0.272,-13.8,-13.6
-1.7727e+01,-0.28,-0.296,-13.8,-14
-1.7719e+01,-0.28,-0.272,-13.8,-13.6
-1.7711e+01,-0.28,-0.296,-13.8,-14
-1.7704e+01,-0.28,-0.272,-13.8,-13.6
-1.7696e+01,-0.28,-0.296,-13.8,-14
-1.7688e+01,-0.28,-0.264,-13.8,-13.6
-1.7680e+01,-0.28,-0.296,-13.8,-14
-1.7673e+01,-0.28,-0.264,-13.8,-13.6
-1.7665e+01,-0.28,-0.296,-13.8,-14
-1.7657e+01,-0.28,-0.272,-13.8,-13.6
-1.7650e+01,-0.28,-0.296,-13.8,-14
-1.7642e+01,-0.28,-0.264,-13.8,-13.6
-1.7634e+01,-0.28,-0.296,-13.8,-14
-1.7627e+01,-0.28,-0.264,-13.8,-13.6
-1.7619e+01,-0.28,-0.296,-13.8,-14
